lang,QID,policy_name_en
ksh,Q4048254,Wikipedia:Requests for adminship
ks,Q4048254,Wikipedia:Requests for adminship
ku,Q4048254,Wikipedia:Requests for adminship
lad,Q4048254,Wikipedia:Requests for adminship
la,Q4048254,Wikipedia:Requests for adminship
lbe,Q4048254,Wikipedia:Requests for adminship
lb,Q4048254,Wikipedia:Requests for adminship
lij,Q4048254,Wikipedia:Requests for adminship
lmo,Q4048254,Wikipedia:Requests for adminship
lt,Q4048254,Wikipedia:Requests for adminship
lv,Q4048254,Wikipedia:Requests for adminship
mai,Q4048254,Wikipedia:Requests for adminship
mi,Q4048254,Wikipedia:Requests for adminship
mk,Q4048254,Wikipedia:Requests for adminship
ml,Q4048254,Wikipedia:Requests for adminship
mn,Q4048254,Wikipedia:Requests for adminship
mnw,Q4048254,Wikipedia:Requests for adminship
mr,Q4048254,Wikipedia:Requests for adminship
ms,Q4048254,Wikipedia:Requests for adminship
mt,Q4048254,Wikipedia:Requests for adminship
mwl,Q4048254,Wikipedia:Requests for adminship
my,Q4048254,Wikipedia:Requests for adminship
na,Q4048254,Wikipedia:Requests for adminship
nds-nl,Q4048254,Wikipedia:Requests for adminship
nds,Q4048254,Wikipedia:Requests for adminship
ne,Q4048254,Wikipedia:Requests for adminship
nl,Q4048254,Wikipedia:Requests for adminship
oc,Q4048254,Wikipedia:Requests for adminship
or,Q4048254,Wikipedia:Requests for adminship
pa,Q4048254,Wikipedia:Requests for adminship
pfl,Q4048254,Wikipedia:Requests for adminship
pl,Q4048254,Wikipedia:Requests for adminship
ps,Q4048254,Wikipedia:Requests for adminship
pt,Q4048254,Wikipedia:Requests for adminship
qu,Q4048254,Wikipedia:Requests for adminship
rmy,Q4048254,Wikipedia:Requests for adminship
ro,Q4048254,Wikipedia:Requests for adminship
ru,Q4048254,Wikipedia:Requests for adminship
sat,Q4048254,Wikipedia:Requests for adminship
sa,Q4048254,Wikipedia:Requests for adminship
sco,Q4048254,Wikipedia:Requests for adminship
sc,Q4048254,Wikipedia:Requests for adminship
sd,Q4048254,Wikipedia:Requests for adminship
sg,Q4048254,Wikipedia:Requests for adminship
shn,Q4048254,Wikipedia:Requests for adminship
sh,Q4048254,Wikipedia:Requests for adminship
sk,Q4048254,Wikipedia:Requests for adminship
sl,Q4048254,Wikipedia:Requests for adminship
so,Q4048254,Wikipedia:Requests for adminship
sq,Q4048254,Wikipedia:Requests for adminship
sr,Q4048254,Wikipedia:Requests for adminship
st,Q4048254,Wikipedia:Requests for adminship
sv,Q4048254,Wikipedia:Requests for adminship
szl,Q4048254,Wikipedia:Requests for adminship
szy,Q4048254,Wikipedia:Requests for adminship
ta,Q4048254,Wikipedia:Requests for adminship
tay,Q4048254,Wikipedia:Requests for adminship
te,Q4048254,Wikipedia:Requests for adminship
tg,Q4048254,Wikipedia:Requests for adminship
th,Q4048254,Wikipedia:Requests for adminship
ti,Q4048254,Wikipedia:Requests for adminship
tl,Q4048254,Wikipedia:Requests for adminship
trv,Q4048254,Wikipedia:Requests for adminship
tr,Q4048254,Wikipedia:Requests for adminship
tt,Q4048254,Wikipedia:Requests for adminship
tw,Q4048254,Wikipedia:Requests for adminship
tyv,Q4048254,Wikipedia:Requests for adminship
udm,Q4048254,Wikipedia:Requests for adminship
uk,Q4048254,Wikipedia:Requests for adminship
ur,Q4048254,Wikipedia:Requests for adminship
uz,Q4048254,Wikipedia:Requests for adminship
vec,Q4048254,Wikipedia:Requests for adminship
vi,Q4048254,Wikipedia:Requests for adminship
war,Q4048254,Wikipedia:Requests for adminship
wuu,Q4048254,Wikipedia:Requests for adminship
xh,Q4048254,Wikipedia:Requests for adminship
xmf,Q4048254,Wikipedia:Requests for adminship
yi,Q4048254,Wikipedia:Requests for adminship
yo,Q4048254,Wikipedia:Requests for adminship
zh-classical,Q4048254,Wikipedia:Requests for adminship
zh-yue,Q4048254,Wikipedia:Requests for adminship
zh,Q4048254,Wikipedia:Requests for adminship
zu,Q4048254,Wikipedia:Requests for adminship
ady,Q22897,Wikipedia:Articles for deletion
af,Q22897,Wikipedia:Articles for deletion
ak,Q22897,Wikipedia:Articles for deletion
ar,Q22897,Wikipedia:Articles for deletion
arz,Q22897,Wikipedia:Articles for deletion
av,Q22897,Wikipedia:Articles for deletion
azb,Q22897,Wikipedia:Articles for deletion
az,Q22897,Wikipedia:Articles for deletion
bar,Q22897,Wikipedia:Articles for deletion
ba,Q22897,Wikipedia:Articles for deletion
be-tarask,Q22897,Wikipedia:Articles for deletion
be,Q22897,Wikipedia:Articles for deletion
bg,Q22897,Wikipedia:Articles for deletion
bh,Q22897,Wikipedia:Articles for deletion
bn,Q22897,Wikipedia:Articles for deletion
br,Q22897,Wikipedia:Articles for deletion
bs,Q22897,Wikipedia:Articles for deletion
ca,Q22897,Wikipedia:Articles for deletion
cdo,Q22897,Wikipedia:Articles for deletion
ceb,Q22897,Wikipedia:Articles for deletion
ce,Q22897,Wikipedia:Articles for deletion
ckb,Q22897,Wikipedia:Articles for deletion
cs,Q22897,Wikipedia:Articles for deletion
cv,Q22897,Wikipedia:Articles for deletion
da,Q22897,Wikipedia:Articles for deletion
de,Q22897,Wikipedia:Articles for deletion
dsb,Q22897,Wikipedia:Articles for deletion
el,Q22897,Wikipedia:Articles for deletion
en,Q22897,Wikipedia:Articles for deletion
eo,Q22897,Wikipedia:Articles for deletion
es,Q22897,Wikipedia:Articles for deletion
fa,Q22897,Wikipedia:Articles for deletion
fi,Q22897,Wikipedia:Articles for deletion
fr,Q22897,Wikipedia:Articles for deletion
fy,Q22897,Wikipedia:Articles for deletion
gl,Q22897,Wikipedia:Articles for deletion
gom,Q22897,Wikipedia:Articles for deletion
gv,Q22897,Wikipedia:Articles for deletion
he,Q22897,Wikipedia:Articles for deletion
hi,Q22897,Wikipedia:Articles for deletion
hr,Q22897,Wikipedia:Articles for deletion
hsb,Q22897,Wikipedia:Articles for deletion
ht,Q22897,Wikipedia:Articles for deletion
hu,Q22897,Wikipedia:Articles for deletion
hy,Q22897,Wikipedia:Articles for deletion
ia,Q22897,Wikipedia:Articles for deletion
id,Q22897,Wikipedia:Articles for deletion
it,Q22897,Wikipedia:Articles for deletion
ja,Q22897,Wikipedia:Articles for deletion
kn,Q22897,Wikipedia:Articles for deletion
ko,Q22897,Wikipedia:Articles for deletion
lb,Q22897,Wikipedia:Articles for deletion
lez,Q22897,Wikipedia:Articles for deletion
li,Q22897,Wikipedia:Articles for deletion
mk,Q22897,Wikipedia:Articles for deletion
ml,Q22897,Wikipedia:Articles for deletion
mr,Q22897,Wikipedia:Articles for deletion
ms,Q22897,Wikipedia:Articles for deletion
mwl,Q22897,Wikipedia:Articles for deletion
my,Q22897,Wikipedia:Articles for deletion
mzn,Q22897,Wikipedia:Articles for deletion
na,Q22897,Wikipedia:Articles for deletion
nds-nl,Q22897,Wikipedia:Articles for deletion
nds,Q22897,Wikipedia:Articles for deletion
ne,Q22897,Wikipedia:Articles for deletion
nl,Q22897,Wikipedia:Articles for deletion
no,Q22897,Wikipedia:Articles for deletion
oc,Q22897,Wikipedia:Articles for deletion
pfl,Q22897,Wikipedia:Articles for deletion
pl,Q22897,Wikipedia:Articles for deletion
pt,Q22897,Wikipedia:Articles for deletion
ro,Q22897,Wikipedia:Articles for deletion
rue,Q22897,Wikipedia:Articles for deletion
ru,Q22897,Wikipedia:Articles for deletion
sco,Q22897,Wikipedia:Articles for deletion
sd,Q22897,Wikipedia:Articles for deletion
sh,Q22897,Wikipedia:Articles for deletion
simple,Q22897,Wikipedia:Articles for deletion
si,Q22897,Wikipedia:Articles for deletion
sk,Q22897,Wikipedia:Articles for deletion
sl,Q22897,Wikipedia:Articles for deletion
sq,Q22897,Wikipedia:Articles for deletion
sr,Q22897,Wikipedia:Articles for deletion
sv,Q22897,Wikipedia:Articles for deletion
sw,Q22897,Wikipedia:Articles for deletion
szl,Q22897,Wikipedia:Articles for deletion
ta,Q22897,Wikipedia:Articles for deletion
te,Q22897,Wikipedia:Articles for deletion
tg,Q22897,Wikipedia:Articles for deletion
th,Q22897,Wikipedia:Articles for deletion
tr,Q22897,Wikipedia:Articles for deletion
tt,Q22897,Wikipedia:Articles for deletion
uk,Q22897,Wikipedia:Articles for deletion
ur,Q22897,Wikipedia:Articles for deletion
uz,Q22897,Wikipedia:Articles for deletion
vec,Q22897,Wikipedia:Articles for deletion
vi,Q22897,Wikipedia:Articles for deletion
vls,Q22897,Wikipedia:Articles for deletion
wa,Q22897,Wikipedia:Articles for deletion
wuu,Q22897,Wikipedia:Articles for deletion
yi,Q22897,Wikipedia:Articles for deletion
zh-classical,Q22897,Wikipedia:Articles for deletion
zh-yue,Q22897,Wikipedia:Articles for deletion
zh,Q22897,Wikipedia:Articles for deletion
af,Q4994848,Project:Manual of Style
am,Q4994848,Project:Manual of Style
ang,Q4994848,Project:Manual of Style
an,Q4994848,Project:Manual of Style
arc,Q4994848,Project:Manual of Style
ar,Q4994848,Project:Manual of Style
arz,Q4994848,Project:Manual of Style
as,Q4994848,Project:Manual of Style
av,Q4994848,Project:Manual of Style
awa,Q4994848,Project:Manual of Style
azb,Q4994848,Project:Manual of Style
az,Q4994848,Project:Manual of Style
ba,Q4994848,Project:Manual of Style
be-tarask,Q4994848,Project:Manual of Style
be,Q4994848,Project:Manual of Style
bg,Q4994848,Project:Manual of Style
bjn,Q4994848,Project:Manual of Style
bn,Q4994848,Project:Manual of Style
bs,Q4994848,Project:Manual of Style
ca,Q4994848,Project:Manual of Style
ceb,Q4994848,Project:Manual of Style
ckb,Q4994848,Project:Manual of Style
cs,Q4994848,Project:Manual of Style
cv,Q4994848,Project:Manual of Style
cy,Q4994848,Project:Manual of Style
da,Q4994848,Project:Manual of Style
de,Q4994848,Project:Manual of Style
diq,Q4994848,Project:Manual of Style
el,Q4994848,Project:Manual of Style
en,Q4994848,Project:Manual of Style
eo,Q4994848,Project:Manual of Style
es,Q4994848,Project:Manual of Style
et,Q4994848,Project:Manual of Style
eu,Q4994848,Project:Manual of Style
fa,Q4994848,Project:Manual of Style
fi,Q4994848,Project:Manual of Style
fo,Q4994848,Project:Manual of Style
fr,Q4994848,Project:Manual of Style
fur,Q4994848,Project:Manual of Style
fy,Q4994848,Project:Manual of Style
ga,Q4994848,Project:Manual of Style
gl,Q4994848,Project:Manual of Style
haw,Q4994848,Project:Manual of Style
he,Q4994848,Project:Manual of Style
hi,Q4994848,Project:Manual of Style
hr,Q4994848,Project:Manual of Style
hu,Q4994848,Project:Manual of Style
hy,Q4994848,Project:Manual of Style
ia,Q4994848,Project:Manual of Style
id,Q4994848,Project:Manual of Style
it,Q4994848,Project:Manual of Style
ja,Q4994848,Project:Manual of Style
jbo,Q4994848,Project:Manual of Style
jv,Q4994848,Project:Manual of Style
ka,Q4994848,Project:Manual of Style
kk,Q4994848,Project:Manual of Style
km,Q4994848,Project:Manual of Style
ko,Q4994848,Project:Manual of Style
ks,Q4994848,Project:Manual of Style
ku,Q4994848,Project:Manual of Style
lb,Q4994848,Project:Manual of Style
lo,Q4994848,Project:Manual of Style
ltg,Q4994848,Project:Manual of Style
lv,Q4994848,Project:Manual of Style
min,Q4994848,Project:Manual of Style
mi,Q4994848,Project:Manual of Style
mk,Q4994848,Project:Manual of Style
ml,Q4994848,Project:Manual of Style
mn,Q4994848,Project:Manual of Style
mr,Q4994848,Project:Manual of Style
ms,Q4994848,Project:Manual of Style
mt,Q4994848,Project:Manual of Style
my,Q4994848,Project:Manual of Style
nah,Q4994848,Project:Manual of Style
ne,Q4994848,Project:Manual of Style
new,Q4994848,Project:Manual of Style
nl,Q4994848,Project:Manual of Style
nn,Q4994848,Project:Manual of Style
no,Q4994848,Project:Manual of Style
oc,Q4994848,Project:Manual of Style
or,Q4994848,Project:Manual of Style
os,Q4994848,Project:Manual of Style
pl,Q4994848,Project:Manual of Style
pt,Q4994848,Project:Manual of Style
ro,Q4994848,Project:Manual of Style
ru,Q4994848,Project:Manual of Style
sco,Q4994848,Project:Manual of Style
sd,Q4994848,Project:Manual of Style
shi,Q4994848,Project:Manual of Style
shn,Q4994848,Project:Manual of Style
sh,Q4994848,Project:Manual of Style
simple,Q4994848,Project:Manual of Style
si,Q4994848,Project:Manual of Style
sk,Q4994848,Project:Manual of Style
sl,Q4994848,Project:Manual of Style
sr,Q4994848,Project:Manual of Style
sv,Q4994848,Project:Manual of Style
ta,Q4994848,Project:Manual of Style
te,Q4994848,Project:Manual of Style
tg,Q4994848,Project:Manual of Style
th,Q4994848,Project:Manual of Style
tl,Q4994848,Project:Manual of Style
tr,Q4994848,Project:Manual of Style
uk,Q4994848,Project:Manual of Style
ur,Q4994848,Project:Manual of Style
vec,Q4994848,Project:Manual of Style
vi,Q4994848,Project:Manual of Style
yi,Q4994848,Project:Manual of Style
zh-classical,Q4994848,Project:Manual of Style
zh-min-nan,Q4994848,Project:Manual of Style
zh-yue,Q4994848,Project:Manual of Style
zh,Q4994848,Project:Manual of Style
af,Q4345841,Wikipedia:What Wikipedia is not
als,Q4345841,Wikipedia:What Wikipedia is not
ang,Q4345841,Wikipedia:What Wikipedia is not
ar,Q4345841,Wikipedia:What Wikipedia is not
ary,Q4345841,Wikipedia:What Wikipedia is not
arz,Q4345841,Wikipedia:What Wikipedia is not
ast,Q4345841,Wikipedia:What Wikipedia is not
as,Q4345841,Wikipedia:What Wikipedia is not
azb,Q4345841,Wikipedia:What Wikipedia is not
az,Q4345841,Wikipedia:What Wikipedia is not
bar,Q4345841,Wikipedia:What Wikipedia is not
bat-smg,Q4345841,Wikipedia:What Wikipedia is not
ba,Q4345841,Wikipedia:What Wikipedia is not
be-tarask,Q4345841,Wikipedia:What Wikipedia is not
be,Q4345841,Wikipedia:What Wikipedia is not
bg,Q4345841,Wikipedia:What Wikipedia is not
bh,Q4345841,Wikipedia:What Wikipedia is not
bn,Q4345841,Wikipedia:What Wikipedia is not
br,Q4345841,Wikipedia:What Wikipedia is not
bs,Q4345841,Wikipedia:What Wikipedia is not
ca,Q4345841,Wikipedia:What Wikipedia is not
chr,Q4345841,Wikipedia:What Wikipedia is not
ckb,Q4345841,Wikipedia:What Wikipedia is not
csb,Q4345841,Wikipedia:What Wikipedia is not
cs,Q4345841,Wikipedia:What Wikipedia is not
cy,Q4345841,Wikipedia:What Wikipedia is not
da,Q4345841,Wikipedia:What Wikipedia is not
de,Q4345841,Wikipedia:What Wikipedia is not
el,Q4345841,Wikipedia:What Wikipedia is not
en,Q4345841,Wikipedia:What Wikipedia is not
eo,Q4345841,Wikipedia:What Wikipedia is not
es,Q4345841,Wikipedia:What Wikipedia is not
et,Q4345841,Wikipedia:What Wikipedia is not
eu,Q4345841,Wikipedia:What Wikipedia is not
fa,Q4345841,Wikipedia:What Wikipedia is not
fi,Q4345841,Wikipedia:What Wikipedia is not
frr,Q4345841,Wikipedia:What Wikipedia is not
fr,Q4345841,Wikipedia:What Wikipedia is not
glk,Q4345841,Wikipedia:What Wikipedia is not
gl,Q4345841,Wikipedia:What Wikipedia is not
gu,Q4345841,Wikipedia:What Wikipedia is not
he,Q4345841,Wikipedia:What Wikipedia is not
hi,Q4345841,Wikipedia:What Wikipedia is not
hr,Q4345841,Wikipedia:What Wikipedia is not
hu,Q4345841,Wikipedia:What Wikipedia is not
hy,Q4345841,Wikipedia:What Wikipedia is not
ia,Q4345841,Wikipedia:What Wikipedia is not
id,Q4345841,Wikipedia:What Wikipedia is not
is,Q4345841,Wikipedia:What Wikipedia is not
it,Q4345841,Wikipedia:What Wikipedia is not
ja,Q4345841,Wikipedia:What Wikipedia is not
jv,Q4345841,Wikipedia:What Wikipedia is not
ka,Q4345841,Wikipedia:What Wikipedia is not
kk,Q4345841,Wikipedia:What Wikipedia is not
kl,Q4345841,Wikipedia:What Wikipedia is not
km,Q4345841,Wikipedia:What Wikipedia is not
ko,Q4345841,Wikipedia:What Wikipedia is not
ksh,Q4345841,Wikipedia:What Wikipedia is not
ku,Q4345841,Wikipedia:What Wikipedia is not
lad,Q4345841,Wikipedia:What Wikipedia is not
lb,Q4345841,Wikipedia:What Wikipedia is not
li,Q4345841,Wikipedia:What Wikipedia is not
lmo,Q4345841,Wikipedia:What Wikipedia is not
lt,Q4345841,Wikipedia:What Wikipedia is not
lv,Q4345841,Wikipedia:What Wikipedia is not
mg,Q4345841,Wikipedia:What Wikipedia is not
min,Q4345841,Wikipedia:What Wikipedia is not
mk,Q4345841,Wikipedia:What Wikipedia is not
ml,Q4345841,Wikipedia:What Wikipedia is not
mn,Q4345841,Wikipedia:What Wikipedia is not
mr,Q4345841,Wikipedia:What Wikipedia is not
ms,Q4345841,Wikipedia:What Wikipedia is not
my,Q4345841,Wikipedia:What Wikipedia is not
nap,Q4345841,Wikipedia:What Wikipedia is not
nds,Q4345841,Wikipedia:What Wikipedia is not
ne,Q4345841,Wikipedia:What Wikipedia is not
nl,Q4345841,Wikipedia:What Wikipedia is not
nn,Q4345841,Wikipedia:What Wikipedia is not
no,Q4345841,Wikipedia:What Wikipedia is not
oc,Q4345841,Wikipedia:What Wikipedia is not
pa,Q4345841,Wikipedia:What Wikipedia is not
pl,Q4345841,Wikipedia:What Wikipedia is not
pnt,Q4345841,Wikipedia:What Wikipedia is not
pt,Q4345841,Wikipedia:What Wikipedia is not
roa-tara,Q4345841,Wikipedia:What Wikipedia is not
ro,Q4345841,Wikipedia:What Wikipedia is not
rue,Q4345841,Wikipedia:What Wikipedia is not
ru,Q4345841,Wikipedia:What Wikipedia is not
sah,Q4345841,Wikipedia:What Wikipedia is not
sco,Q4345841,Wikipedia:What Wikipedia is not
sd,Q4345841,Wikipedia:What Wikipedia is not
shn,Q4345841,Wikipedia:What Wikipedia is not
sh,Q4345841,Wikipedia:What Wikipedia is not
simple,Q4345841,Wikipedia:What Wikipedia is not
si,Q4345841,Wikipedia:What Wikipedia is not
sk,Q4345841,Wikipedia:What Wikipedia is not
sl,Q4345841,Wikipedia:What Wikipedia is not
so,Q4345841,Wikipedia:What Wikipedia is not
sq,Q4345841,Wikipedia:What Wikipedia is not
sr,Q4345841,Wikipedia:What Wikipedia is not
stq,Q4345841,Wikipedia:What Wikipedia is not
sv,Q4345841,Wikipedia:What Wikipedia is not
szl,Q4345841,Wikipedia:What Wikipedia is not
ta,Q4345841,Wikipedia:What Wikipedia is not
te,Q4345841,Wikipedia:What Wikipedia is not
tg,Q4345841,Wikipedia:What Wikipedia is not
th,Q4345841,Wikipedia:What Wikipedia is not
tk,Q4345841,Wikipedia:What Wikipedia is not
tr,Q4345841,Wikipedia:What Wikipedia is not
tt,Q4345841,Wikipedia:What Wikipedia is not
uk,Q4345841,Wikipedia:What Wikipedia is not
ur,Q4345841,Wikipedia:What Wikipedia is not
uz,Q4345841,Wikipedia:What Wikipedia is not
vec,Q4345841,Wikipedia:What Wikipedia is not
vi,Q4345841,Wikipedia:What Wikipedia is not
yi,Q4345841,Wikipedia:What Wikipedia is not
yo,Q4345841,Wikipedia:What Wikipedia is not
zh-yue,Q4345841,Wikipedia:What Wikipedia is not
zh,Q4345841,Wikipedia:What Wikipedia is not
af,Q4656487,Project:Neutral point of view
am,Q4656487,Project:Neutral point of view
an,Q4656487,Project:Neutral point of view
ar,Q4656487,Project:Neutral point of view
ary,Q4656487,Project:Neutral point of view
arz,Q4656487,Project:Neutral point of view
ast,Q4656487,Project:Neutral point of view
as,Q4656487,Project:Neutral point of view
azb,Q4656487,Project:Neutral point of view
az,Q4656487,Project:Neutral point of view
ba,Q4656487,Project:Neutral point of view
be-tarask,Q4656487,Project:Neutral point of view
be,Q4656487,Project:Neutral point of view
bg,Q4656487,Project:Neutral point of view
bh,Q4656487,Project:Neutral point of view
bn,Q4656487,Project:Neutral point of view
br,Q4656487,Project:Neutral point of view
bs,Q4656487,Project:Neutral point of view
ca,Q4656487,Project:Neutral point of view
ce,Q4656487,Project:Neutral point of view
chr,Q4656487,Project:Neutral point of view
ckb,Q4656487,Project:Neutral point of view
co,Q4656487,Project:Neutral point of view
csb,Q4656487,Project:Neutral point of view
cs,Q4656487,Project:Neutral point of view
cy,Q4656487,Project:Neutral point of view
da,Q4656487,Project:Neutral point of view
de,Q4656487,Project:Neutral point of view
diq,Q4656487,Project:Neutral point of view
el,Q4656487,Project:Neutral point of view
en,Q4656487,Project:Neutral point of view
eo,Q4656487,Project:Neutral point of view
es,Q4656487,Project:Neutral point of view
et,Q4656487,Project:Neutral point of view
eu,Q4656487,Project:Neutral point of view
fa,Q4656487,Project:Neutral point of view
fiu-vro,Q4656487,Project:Neutral point of view
fi,Q4656487,Project:Neutral point of view
fr,Q4656487,Project:Neutral point of view
fy,Q4656487,Project:Neutral point of view
glk,Q4656487,Project:Neutral point of view
gl,Q4656487,Project:Neutral point of view
gu,Q4656487,Project:Neutral point of view
ha,Q4656487,Project:Neutral point of view
he,Q4656487,Project:Neutral point of view
hi,Q4656487,Project:Neutral point of view
hr,Q4656487,Project:Neutral point of view
hsb,Q4656487,Project:Neutral point of view
hu,Q4656487,Project:Neutral point of view
hy,Q4656487,Project:Neutral point of view
ia,Q4656487,Project:Neutral point of view
id,Q4656487,Project:Neutral point of view
ig,Q4656487,Project:Neutral point of view
is,Q4656487,Project:Neutral point of view
it,Q4656487,Project:Neutral point of view
ja,Q4656487,Project:Neutral point of view
jv,Q4656487,Project:Neutral point of view
ka,Q4656487,Project:Neutral point of view
kk,Q4656487,Project:Neutral point of view
kl,Q4656487,Project:Neutral point of view
kn,Q4656487,Project:Neutral point of view
ko,Q4656487,Project:Neutral point of view
ks,Q4656487,Project:Neutral point of view
lb,Q4656487,Project:Neutral point of view
ln,Q4656487,Project:Neutral point of view
lt,Q4656487,Project:Neutral point of view
map-bms,Q4656487,Project:Neutral point of view
mg,Q4656487,Project:Neutral point of view
min,Q4656487,Project:Neutral point of view
mk,Q4656487,Project:Neutral point of view
ml,Q4656487,Project:Neutral point of view
mn,Q4656487,Project:Neutral point of view
mr,Q4656487,Project:Neutral point of view
ms,Q4656487,Project:Neutral point of view
mzn,Q4656487,Project:Neutral point of view
nap,Q4656487,Project:Neutral point of view
ne,Q4656487,Project:Neutral point of view
nl,Q4656487,Project:Neutral point of view
nn,Q4656487,Project:Neutral point of view
no,Q4656487,Project:Neutral point of view
oc,Q4656487,Project:Neutral point of view
or,Q4656487,Project:Neutral point of view
pa,Q4656487,Project:Neutral point of view
pl,Q4656487,Project:Neutral point of view
pt,Q4656487,Project:Neutral point of view
qu,Q4656487,Project:Neutral point of view
rmy,Q4656487,Project:Neutral point of view
ro,Q4656487,Project:Neutral point of view
ru,Q4656487,Project:Neutral point of view
sah,Q4656487,Project:Neutral point of view
scn,Q4656487,Project:Neutral point of view
sco,Q4656487,Project:Neutral point of view
sd,Q4656487,Project:Neutral point of view
sh,Q4656487,Project:Neutral point of view
simple,Q4656487,Project:Neutral point of view
si,Q4656487,Project:Neutral point of view
sk,Q4656487,Project:Neutral point of view
sl,Q4656487,Project:Neutral point of view
sq,Q4656487,Project:Neutral point of view
sr,Q4656487,Project:Neutral point of view
su,Q4656487,Project:Neutral point of view
sv,Q4656487,Project:Neutral point of view
sw,Q4656487,Project:Neutral point of view
szl,Q4656487,Project:Neutral point of view
ta,Q4656487,Project:Neutral point of view
te,Q4656487,Project:Neutral point of view
tg,Q4656487,Project:Neutral point of view
th,Q4656487,Project:Neutral point of view
tk,Q4656487,Project:Neutral point of view
tl,Q4656487,Project:Neutral point of view
tr,Q4656487,Project:Neutral point of view
tt,Q4656487,Project:Neutral point of view
uk,Q4656487,Project:Neutral point of view
ur,Q4656487,Project:Neutral point of view
uz,Q4656487,Project:Neutral point of view
vec,Q4656487,Project:Neutral point of view
vi,Q4656487,Project:Neutral point of view
yi,Q4656487,Project:Neutral point of view
zh-min-nan,Q4656487,Project:Neutral point of view
zh-yue,Q4656487,Project:Neutral point of view
zh,Q4656487,Project:Neutral point of view
af,Q4663261,Wikipedia:Stub
als,Q4663261,Wikipedia:Stub
ang,Q4663261,Wikipedia:Stub
ar,Q4663261,Wikipedia:Stub
ary,Q4663261,Wikipedia:Stub
arz,Q4663261,Wikipedia:Stub
as,Q4663261,Wikipedia:Stub
azb,Q4663261,Wikipedia:Stub
az,Q4663261,Wikipedia:Stub
be-tarask,Q4663261,Wikipedia:Stub
be,Q4663261,Wikipedia:Stub
bg,Q4663261,Wikipedia:Stub
bh,Q4663261,Wikipedia:Stub
bjn,Q4663261,Wikipedia:Stub
bn,Q4663261,Wikipedia:Stub
bs,Q4663261,Wikipedia:Stub
bxr,Q4663261,Wikipedia:Stub
ca,Q4663261,Wikipedia:Stub
cbk-zam,Q4663261,Wikipedia:Stub
ceb,Q4663261,Wikipedia:Stub
ce,Q4663261,Wikipedia:Stub
ckb,Q4663261,Wikipedia:Stub
